Family,Genera,Neusa Hamada et al.,C.R. Lugo-Ortiz et al. 2010,C.Nieto 2016,"McCafferty, W. P. et al. 2008","Cruz, P. V. et al. 2014",Salles F. F. et al.2009,Lima L. R. et al. 2010,Neusa Hamada et al. 2010,C.R. Lugo-Ortiz et al. 1995,C.R. Lugo-Ortiz et al. 1997,"McCafferty, W. P. 1987","Cruz, P. V. et al. 2016",Salles F. F. et al.2009,"Lugo-Ortiz, C. R. et al. 1998","LUCAS R. C. LIMA, 2015",Zoologische Mededelingen,"Claudio G. Froehlich, 1969","MOLINERI, Carlos et al 2016,","SUN, L.  2008","Holzenthal, R. W. et al. 2015","Stark, B. et al. 2002","Holzenthal, R. W. et al. 2017","Philipson, G. N. et al. 1976","Holzenthal, R, W. etl al. (2009)","Wells, A. et al. (1985)",Yeon Jae Bae (1995),"Flint Jr, O. S. et al. (1971)","Dean, J. C. et al. (1989)"
Family,Genera,https://www.alice.cnptia.embrapa.br/handle/doc/1000609 ,https://doi.org/10.1076/snfe.31.3.156.1334 ,https://doi.org/10.1051/limn/2006020 ,https://doi.org/10.1080/01650429609361619 ,https://doi.org/10.1080/00222933.2013.791883 ,http://antigo.inma.gov.br/downloads/boletim/arquivos/25/BMBML_25_Boldrini_&_Salles.pdf ,https://doi.org/10.1590/S1519-566X2010000500009,https://doi.org/10.11646/zootaxa.2530.1.4,https://doi.org/10.1051/limn/1995021,https://doi.org/10.1080/01650429709361659,http://www.insecta.bio.spbu.ru/z/pdf/WaltzMcCafferty1987p177.pdf,https://doi.org/10.1111/zsc.12197 ,https://www.locus.ufv.br/bitstream/123456789/9822/1/texto%20completo.pdf#page=61,https://doi.org/10.1051/limn/1998007,https://repositorio.ufpe.br/bitstream/123456789/13888/1/Tese%20versão%20final%20Lucas.pdf,https://repository.naturalis.nl/pub/317940/ZM1986060004.pdf,https://doi.org/10.1080/01650526909360420,http://www.scielo.org.ar/scielo.php?pid=S0373-56802006000100007&script=sci_arttext&tlng=es,https://doi.org/10.11646/zootaxa.1801.1.1,https://doi.org/10.1016/B978-0-12-385026-3.00038-3,10.1076/aqin.24.3.219.8119,https://dx.doi.org/10.3897%2Fzookeys.654.9516,10.1111/j.1365-2427.1976.tb01619.x,https://doi.org/10.1016/B978-012370626-3.00189-7,https://doi.org/10.1071/AJZS113,https://www.koreascience.or.kr/article/JAKO199511920827987.pdf,https://pure.mpg.de/pubman/item/item_3148334_1/component/file_3148335/Flint_1971.pdf,https://doi.org/10.1071/MF9890631
Baetidae,Americabaetis,Branquial ,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,
Baetidae,Apobaetis,,,Branquial,,,,,,,Branquial,,,,,,,,,,,,,,,,,,
Baetidae,Aturbina,,,,Branquial,,,,,,,,,,,,,,,,,,,,,,,,
Baetidae,Callibaetis,,,,,Branquial,,,,,,,Branquial,,,,,,,,,,,,,,,,
Baetidae,Callibaetoides,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baetidae,Camelobaetidius,,,,,,Branquial,,,,,,,,,,,,,,,,,,,,,,
Baetidae,Cloeodes,,,,,,,,,,,Branquial,,,,Branquial,,,,,,,,,,,,,
Baetidae,Cryptonympha,,,,,,,,,,,,,Branquial,,,,,,,,,,,,,,,
Baetidae,Guajirolus,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baetidae,Harpagobaetis,,,,,,,,,,,,,,,,Branquial,,,,,,,,,,,,
Baetidae,Paracloeodes,,,,,,,Branquial,,,,,,,,,,,,,,,,,,,,,
Baetidae,Tomedontus,,,,,,,,Branquial,,,,,,,,,,,,,,,,,,,,
Baetidae,Waltzoyphius,,,,,,,,,Branquial,,,,,,,,,,,,,,,,,,,
Baetidae,Zelusia,,,,,,,,,,,,,,Branquial,,,,,,,,,,,,,,
Caenidae,Brasilocaenis,,,,,,,,,,,,,,,Branquial,,,,,,,,,,,,,
